interaction_id,date,icp,pain_area,duration_min,score
a0875dc7-4c1a-418c-a597-c63744da2b9a,2026-02-22,Low Income,Budget,2,0.27
07f3b4ed-2e62-45e9-bba6-db1f0f1c91b8,2026-05-10,Family,Economy,39,-0.44
329aca0a-d44a-46ae-83f3-574ace6b9ec0,2026-04-30,Family,Economy,9,-0.54
0ea0b25a-ca62-4c60-9ac5-84399b7311cb,2026-04-15,Business,Right Vehicle,23,-0.88
78e463ce-6d18-4b3c-ac35-59f1972421c2,2026-04-21,Low Income,Economy,7,-0.54
94a37e88-0311-4657-a249-ec4205c66e09,2026-03-10,Low Income,Economy,5,-0.31
32bca932-9e58-4e69-89f7-a9bcefeacbb9,2026-03-24,Student,Availability,8,0.67
1a7c901f-08d6-4c07-b789-7fc47223a0bc,2026-04-28,Low Income,Economy,30,0.48
057989dc-48b9-46d5-9bf4-dcacc034eab9,2026-03-02,Student,Right Vehicle,24,-0.94
c3a55370-fa6c-4c95-9647-2b7edccc678a,2026-05-07,Large Family,Financing,31,0.43
bfdd719c-926c-49c8-b544-f54f4b45beb7,2026-04-25,Family,Availability,16,0.51
204907c8-526e-402b-a54c-0529958ae640,2026-03-02,Large Family,Availability,8,-0.34
ac11c6d0-c4e5-473b-9f91-5eecb6e9c4c2,2026-03-20,Large Family,Availability,12,-0.95
a6791d41-3b44-4ddb-b032-a165500950b2,2026-04-07,Student,Availability,34,0.3
b871060f-dcd2-4385-8345-1ba4aa69929f,2026-04-16,Large Family,Right Vehicle,31,-0.98
b4cd5969-bd73-4317-90c4-b9d992140e98,2026-04-30,Business,Right Vehicle,21,-0.26
cbd472b6-0340-4fa1-a3a7-8f80e6954e22,2026-04-01,Student,Financing,29,0.7
ba809af5-7108-453d-a6bd-5ce2d9bce0bd,2026-03-31,Business,Financing,9,0.73
18df790c-bf4d-4e20-b59c-6616c4895545,2026-03-26,Couple,Economy,8,-0.38
7451b87b-2819-44ee-a5c8-9b0654137cb3,2026-05-19,Family,Right Vehicle,30,0.99
2d2b151d-ed25-4cb7-98f2-129560737dae,2026-04-08,Couple,Availability,35,-0.35
ee27ebac-667e-4e2f-b242-2f57c14069c6,2026-02-26,Couple,Right Vehicle,29,-0.85
d3623cf4-ea66-4392-9ed6-5f64d32793d6,2026-03-03,Business,Availability,23,0.34
624b2ad4-6ac5-485a-a214-eb55de391d4e,2026-05-11,Business,Economy,25,0.29
72fe8072-242b-45dd-afb2-e05eae5f5564,2026-04-19,Family,Availability,12,-0.52
9261494f-884e-494b-a68c-6cedb206cf8a,2026-03-23,Business,Right Vehicle,5,-0.07
7b258abe-e3ed-4998-8cbe-b0e62f1f7589,2026-03-18,Business,Economy,21,0.22
9196b238-478e-4137-b277-1fcb1b766927,2026-04-19,Couple,Financing,26,0.22
f859580a-9e4f-4c39-b650-a1f355ea40a4,2026-02-24,Student,Right Vehicle,31,0.97
256b44ba-8637-4d09-961f-c48c41df9c3a,2026-03-23,Business,Budget,20,0.99
f430c047-5bed-4f86-92d8-59dbb7af729e,2026-04-16,Business,Availability,29,-0.66
cef067e7-6f4d-48ad-8019-090ad8e82b8b,2026-04-13,Large Family,Economy,17,0.31
b3a1db99-514d-4fcd-be57-e557f899b826,2026-04-28,Couple,Availability,11,-0.31
401d09e1-faa0-4d91-8f61-ce40c1799714,2026-02-25,Business,Availability,37,-0.58
bb415542-fe05-4dca-8327-9b6929c84289,2026-03-03,Business,Budget,18,0.89
63b1e212-3df1-4f4e-a118-cfee952926be,2026-03-27,Low Income,Economy,32,0.0
dce6d9a6-a2f6-4833-8f42-645c9a9bec01,2026-03-02,Student,Financing,13,0.41
b40617ff-68f4-44a1-a299-98a1562cd4cf,2026-05-04,Student,Budget,16,0.97
89bb7cf3-1811-4e86-bcee-1fec3d688ec9,2026-05-03,Student,Right Vehicle,12,0.68
c286360f-8fe0-4f4f-997e-51dcb9aa2a11,2026-05-11,Business,Right Vehicle,14,-0.87
169f19a9-4c42-4861-9a14-7da08219d774,2026-05-03,Couple,Right Vehicle,11,-0.15
eab3f55a-76a5-4d5a-be96-2cddcc5a573f,2026-03-26,Large Family,Economy,26,0.72
b8f12f4a-a78f-498a-a9d5-a7d71eb61f93,2026-05-03,Business,Financing,33,-0.79
0441d4d8-8929-41ef-a88c-4a58e3522d40,2026-03-31,Couple,Financing,18,0.02
a598cf12-5a5b-4480-aa48-0425258e63b7,2026-04-04,Business,Right Vehicle,26,0.63
f52a6f02-0864-4017-ad71-3795ba3bae40,2026-05-05,Low Income,Economy,26,0.46
ec30595b-c09c-4183-97fe-c58c312aefba,2026-03-23,Business,Right Vehicle,16,-0.26
6e5d770e-5bf0-4001-b213-2427df0011f1,2026-03-19,Low Income,Financing,13,-0.64
ba8f18a7-8fc1-40fb-a774-cfcb0237e6ac,2026-03-14,Business,Right Vehicle,23,0.03
0a4b578b-9463-4772-b255-689628b8e2da,2026-03-23,Couple,Financing,11,-0.35
c618a426-957f-4dfa-b9c1-14aa6b157e1f,2026-03-08,Family,Right Vehicle,26,-0.23
eb2e3727-1d8d-4668-ad8b-bd7bbb2d6306,2026-05-12,Large Family,Budget,10,-1.0
f6a6272f-a4ef-4e25-abef-96b953ee157a,2026-02-26,Low Income,Budget,33,-0.02
59fc3309-9796-457a-b784-1b241a06f16f,2026-03-20,Student,Economy,10,-0.82
b3f32334-7154-43ea-9c01-7ab3a999112d,2026-04-23,Family,Budget,39,0.06
1b10064f-0735-4af8-b441-0eadc5850622,2026-05-09,Large Family,Financing,29,-0.01
fdc07d09-6b9e-4c23-8406-6534720d7879,2026-04-04,Low Income,Economy,27,0.24
dcfed9b9-b2b5-40ff-aa3e-916770e5b179,2026-03-13,Business,Financing,6,0.27
1dfce026-7c34-40b7-9461-534921638c23,2026-05-01,Couple,Availability,26,-0.69
4953ed8f-bd43-4302-bb3f-3e09f22a7543,2026-04-21,Family,Economy,16,-0.34
11cc81d0-4f84-48fd-80a8-0fe44899a28e,2026-03-01,Business,Budget,17,0.21
e8db843c-0e94-4052-b69a-dbf18d4a5490,2026-03-13,Low Income,Right Vehicle,11,0.76
27d71c92-715f-4085-8cfa-859200bdc209,2026-04-09,Business,Financing,13,0.28
6ccf7be5-70bc-4638-a17f-2a4a7d9fdf24,2026-02-24,Business,Economy,21,0.74
a03cda48-fc45-42ca-9bcb-8dac520b1576,2026-04-16,Couple,Financing,13,0.51
4211230f-b37e-43a0-a5b1-f7344f73916a,2026-04-10,Business,Financing,24,0.38
1877d7cf-b969-42a0-9f83-ba3afd276eac,2026-02-22,Large Family,Budget,21,0.4
dc77c6e6-c3b4-4881-b9a9-f3133d251fb0,2026-03-08,Family,Budget,33,-0.96
363eb868-9f7b-496a-964f-1b3c5b9fa0b9,2026-05-01,Couple,Right Vehicle,13,0.94
3200a9d0-c9f9-49be-a9a8-de1b7923ec6e,2026-04-14,Student,Economy,2,-0.43
1aa146cd-c4dc-4863-bd96-abc1ca04dae4,2026-02-28,Couple,Budget,9,0.26
2d28f8ae-d15a-4646-8a97-5e2e9770bb5d,2026-05-07,Family,Financing,35,0.07
cfb952ad-9ebc-4241-99fd-142cb7dc69f3,2026-02-26,Student,Economy,16,-0.99
14683154-7042-44dd-a53f-2cff3c966ec6,2026-04-29,Family,Right Vehicle,19,-0.21
34c8e0a1-e95c-445d-b4a2-325817c68a94,2026-04-27,Business,Budget,17,-0.22
8f5688fa-0455-46de-84b2-234aa1a8440d,2026-03-13,Couple,Financing,19,0.81
17c5a9b6-caac-48bf-b141-97207eb77c8e,2026-05-07,Low Income,Economy,27,-0.42
7d56467b-ef36-45a7-a50d-3099469ee7f1,2026-02-21,Business,Budget,13,0.26
1aa302fc-ab07-4d8e-8e52-b387f0822343,2026-03-06,Large Family,Economy,9,0.32
f5f6223e-3f49-4581-830d-17ae7ca618b3,2026-05-15,Business,Availability,37,-0.62
d4c450e6-e35c-4f61-ac6e-f7113bb95369,2026-04-30,Student,Financing,2,0.68
c74a145b-cd7a-47f6-931b-0135d54967e6,2026-03-27,Business,Economy,7,-0.66
b16b5fa3-e9ed-4869-bd5c-873b8b929548,2026-04-08,Student,Right Vehicle,34,-0.17
24908913-8f50-4e8f-9090-8d23fa02e3d1,2026-03-14,Family,Availability,40,-0.11
e5c192c5-3a9c-4a98-8bad-3655acbdd97b,2026-03-11,Business,Availability,29,0.38
b03b2338-7968-4208-b990-810c45ff824b,2026-03-22,Couple,Budget,20,0.39
84eff5cf-a472-4a69-b5c8-7994c45f7275,2026-02-26,Low Income,Budget,39,-0.4
ff283d93-2f99-4f27-98c5-1d049bba3789,2026-05-08,Large Family,Availability,18,0.73
e95d0af4-4f78-41d1-9b9a-d14f100eb877,2026-04-28,Couple,Financing,18,0.24
b5b72209-484c-4a7d-83d0-f026a0806197,2026-04-29,Student,Budget,37,0.02
adfca12c-bfad-43b6-9283-ce2a6f397cc3,2026-05-11,Business,Financing,30,1.0
4881cd42-b66e-47f8-99c0-2a025632bf2f,2026-04-23,Student,Right Vehicle,27,0.26
e340d9a1-f2ff-4ef2-b155-22c2cd0a1ec6,2026-03-04,Family,Economy,33,0.33
a2a74ccb-fa9a-4bd9-a439-87372dc9ff70,2026-04-20,Student,Financing,7,-0.15
5ae711ec-4da0-463a-b206-05b3f2b3cdee,2026-02-25,Family,Economy,10,-0.67
5fd66170-ff2b-4fcb-972c-2e5ea4d4b40c,2026-02-28,Business,Availability,16,0.13
1e63a764-6e0a-4a6d-9b25-91ae38b5eb79,2026-05-17,Business,Financing,10,0.29
35725f25-0125-4008-9123-a5e6e25602c2,2026-03-28,Couple,Budget,8,-0.79
97e72caa-1efe-4a13-ba49-123d62fffcc8,2026-04-26,Large Family,Availability,26,0.2
e636243a-1278-4285-a585-6b74c96d6445,2026-03-18,Student,Right Vehicle,34,0.62
d6295476-8760-43f3-8ef7-f49837aea270,2026-05-19,Business,Right Vehicle,13,-0.2
9bd39a95-d58f-4ecf-b4db-9d695f273a9b,2026-04-03,Large Family,Economy,30,-0.12
4ceb7061-003f-474a-aece-a8329ce5fb3e,2026-05-20,Student,Budget,30,0.61
c75b0d63-c529-4d2f-bd04-c02dea87f19e,2026-05-02,Large Family,Economy,21,0.82
61e4c213-bf6e-49c5-a388-fb83cd476a82,2026-05-22,Large Family,Economy,9,-0.07
c21c21df-848b-4499-96c6-c5b095a5283b,2026-05-15,Family,Economy,21,0.78
afdc31c0-1e60-4d7a-9a91-25bef4275f3a,2026-05-19,Couple,Financing,28,-0.37
a1378dbe-27e8-45b5-887a-44ad740553ee,2026-05-08,Couple,Budget,14,0.34
9f977f3a-70c5-4712-8e89-fbb69a45bac7,2026-04-26,Couple,Right Vehicle,26,-0.05
0a4cda96-e088-49bd-a3cc-fd1e814097d8,2026-03-07,Student,Financing,21,0.36
f70f1ee6-354d-42a1-b187-6ad6b11c6a49,2026-04-08,Family,Right Vehicle,35,-0.17
8c01e2f3-1ac8-40de-b796-6df5a5431850,2026-04-29,Family,Financing,16,-0.93
0e1d6d0d-7a3c-41e9-8243-c007db3a7660,2026-04-06,Couple,Budget,6,-0.52
aea7bb0b-076f-46c4-abbd-fb1c110b669b,2026-05-21,Student,Availability,7,0.91
0cb1e7ed-3ff8-4a76-8b41-7a96ff80f45e,2026-05-18,Student,Availability,37,-0.93
99c3091a-78bf-403f-a826-e488f2b98309,2026-05-21,Business,Budget,17,-0.53
6f576056-4a16-47fd-9989-4d47cb509d5e,2026-04-06,Large Family,Availability,24,-0.33
4f4cd0a6-69cb-4143-805f-937d32e1b480,2026-03-12,Business,Availability,27,-0.21
70b4c4c3-2bf7-4ee9-9e2d-5a663d30b81d,2026-04-08,Large Family,Availability,31,0.93
16c7c4da-8053-4cd5-b388-4c6168829e0a,2026-03-21,Couple,Availability,24,0.45
3c7feb09-3cf9-4f70-bb63-c4e08bd27079,2026-03-14,Low Income,Right Vehicle,19,-0.25
6dfafb63-a6c6-4316-a111-ca7bbb08c464,2026-05-03,Business,Financing,25,-0.38
01e0236d-19e4-4519-b475-ba168548c163,2026-05-04,Family,Economy,22,0.71
ba7a8bf6-a8bc-45de-8cf8-fdcde10191ee,2026-05-13,Student,Budget,7,1.0
79bde1a0-914f-4801-80fa-d2896fdeb8b2,2026-04-29,Couple,Right Vehicle,22,-0.05
90e5f8bb-c874-411a-bbde-25db5467ff3a,2026-03-19,Student,Financing,33,-0.2
0f509b04-82d1-41ef-aa1e-4c746988d235,2026-03-14,Family,Right Vehicle,7,0.66
c8a5ec5e-c0cc-46ae-ac90-bf0425b887c0,2026-03-11,Family,Availability,31,-0.9
37f6fde6-46f7-43cc-8fad-5c5a6b5b03b1,2026-05-09,Student,Budget,33,0.21
83cfa825-7abf-4abe-892e-a3b3b2115595,2026-04-23,Large Family,Financing,29,-0.81
424e429f-bd41-4b6a-b4d9-527f58cbe1f2,2026-05-06,Low Income,Right Vehicle,14,-0.39
86c3dea1-a2d2-4694-a665-475a7d769eef,2026-05-04,Large Family,Economy,17,0.33
78b14c34-3fea-4047-a88b-562ad937ec19,2026-05-01,Couple,Budget,9,-0.41
035a4892-4723-4e66-93fe-99014ad328b9,2026-04-17,Student,Financing,31,0.95
0e2b7310-14b7-48b9-a7d9-b79419aea395,2026-04-16,Student,Availability,40,0.42
1d1dc194-a840-4a24-b70c-c0ffa9179aa7,2026-03-07,Business,Economy,10,-0.86
8308d525-e2ca-499b-9a25-ad0883ad8213,2026-04-19,Couple,Economy,26,0.81
283c00cb-a72b-488a-8c8c-5bcd5395b105,2026-03-28,Family,Financing,11,0.28
bdfb407f-e341-4cc7-ab9e-41704415bd59,2026-04-11,Large Family,Availability,25,-0.52
1a260295-db6a-4016-aee7-d37371c84349,2026-03-04,Low Income,Budget,17,0.07
e2df0222-7cb4-40d7-b49e-b529cf401e4d,2026-05-09,Low Income,Financing,4,0.18
1669fc60-9990-42b0-807c-b994515250c6,2026-02-23,Business,Financing,27,-0.09
1da197e5-a69d-49b8-b2c3-eb5dfae3b703,2026-05-17,Low Income,Availability,20,-0.76
105b1cd4-a9f5-4c6a-8b32-8046271a4526,2026-05-04,Family,Budget,37,-0.57
e1f0f565-51f9-42d6-bd66-fd4eb4a23c3a,2026-03-23,Couple,Economy,31,0.14
96a0e76d-d47c-4cc1-881f-bb9fa42a3084,2026-03-10,Family,Economy,27,0.11
3634f65a-b250-482f-8040-a45f249cda4a,2026-02-21,Family,Budget,6,-0.69
61bd04a8-a061-4817-9751-74bd7003f7f5,2026-03-05,Student,Right Vehicle,18,-0.65
7e08c817-c129-4402-8537-9728ab18d7a3,2026-05-18,Low Income,Economy,3,-0.87
8892eb30-189c-4e04-84b2-b6c737d1d318,2026-04-11,Couple,Financing,30,0.65
1e804483-5f05-4118-b199-09bd2cb88e74,2026-05-16,Large Family,Financing,38,-0.07
c0651e06-1f78-46d0-ab1f-7c9dc21cb537,2026-03-30,Student,Budget,17,-0.2
67798bc7-29a8-4a77-b9cf-f9ed807e5291,2026-05-08,Family,Availability,5,0.46
feebe35d-8208-42f6-a394-1fad7589e94e,2026-04-24,Business,Financing,31,-0.36
63fb879b-2f54-4e3c-b171-491007d1bf5d,2026-03-15,Couple,Economy,23,0.08
bb807b41-e96a-4a27-9bc9-a7445a52350d,2026-03-03,Low Income,Financing,8,0.43
3a5b02fe-2504-4bc6-a6aa-3a93919b7a5a,2026-05-06,Business,Financing,5,0.14
d737d804-f93a-4a58-b942-adc7cd35f6c3,2026-05-14,Low Income,Budget,28,-0.33
6207a1b1-3565-4a49-8b67-5b2ee9a37144,2026-04-25,Business,Budget,34,0.08
efc1efdb-fdcf-4ce5-8573-87316fdf43ac,2026-03-07,Family,Financing,34,0.04
8958d064-d287-4008-8bb2-dcefe19d39c6,2026-03-25,Student,Financing,25,-0.93
30380994-3c93-4ab3-a463-edcaaa00bf86,2026-03-27,Business,Right Vehicle,31,-0.08
f927f90a-7a65-4499-80c0-15c49d6b9ce0,2026-03-27,Student,Economy,20,0.22
593d9863-cf1c-4afb-99f1-2f757373234a,2026-02-23,Low Income,Right Vehicle,4,0.15
9189826e-73de-4a54-8f13-b34933f3e585,2026-04-10,Business,Right Vehicle,10,-0.28
2a0412d8-770d-435b-a564-fa2b7f3aa5d6,2026-04-23,Student,Budget,34,-0.12
556d4c4f-4a28-4c6a-b4f0-6d9efa70fbf8,2026-04-13,Family,Economy,34,0.69
db46285b-46d5-4b8e-979b-492f4187910c,2026-04-11,Student,Right Vehicle,27,-0.84
bac362fe-220b-40e6-af0b-02316aa30487,2026-04-01,Low Income,Budget,26,0.6
2c64588d-671d-4b2e-a85b-6da189e9f18e,2026-04-02,Large Family,Financing,40,-0.04
64cc97d5-61c0-4d9f-bdb7-0819703a33a9,2026-03-21,Business,Right Vehicle,12,-0.56
55fe59c0-cc1f-4136-85d6-137b094aba2a,2026-03-05,Student,Economy,38,-0.67
0e0e92ea-7d80-4748-a5bf-27e768459fcb,2026-04-27,Student,Budget,28,-0.12
d66c319c-edc4-4fa6-919b-678d71e11835,2026-03-20,Student,Budget,27,-0.44
a188a6f4-bf39-4132-a576-0da42a8a21be,2026-03-22,Couple,Right Vehicle,29,0.27
5bed9038-34d3-4d3e-b602-7f8f61d1bd54,2026-05-04,Large Family,Availability,37,0.73
fcb1b205-e9b4-4493-b7ad-b7c70b811943,2026-05-09,Business,Economy,15,0.3
5ecd99be-1d1f-4587-8280-a6c1b0dc90be,2026-04-29,Large Family,Right Vehicle,16,-0.45
749aed10-33de-4c70-bf3f-b6ac921a9ca7,2026-03-01,Large Family,Budget,10,-0.11
10189f8d-376b-497b-beb1-96dc24b3c308,2026-03-12,Large Family,Right Vehicle,13,-0.79
8dd82835-7fee-4998-b468-6b599cb7fcf2,2026-03-26,Business,Right Vehicle,16,0.1
5fc62803-584c-4b50-8033-33dc9c4b77d1,2026-03-12,Large Family,Right Vehicle,26,0.48
6682534b-180c-4e22-8c6c-c5c31f44b0ec,2026-04-10,Business,Availability,38,0.77
9e141a7c-d028-44b5-a4d6-c9050ce3587f,2026-03-25,Student,Financing,22,0.81
7d177d6e-d334-4b9a-9bdc-1eedd43ba909,2026-05-06,Large Family,Availability,25,0.11
7468a726-8275-421d-9d28-c14a39b84fa1,2026-04-29,Couple,Availability,28,-0.55
215061e6-1125-499e-bf42-e340436efff3,2026-05-06,Large Family,Availability,14,0.91
30662025-2744-4952-932f-31a637cd612a,2026-02-28,Student,Financing,18,-0.39
b75129ab-dbbe-40af-8aad-cc55ffd6987e,2026-05-16,Couple,Availability,14,-0.85
b897489a-c22b-4848-9960-80d20907a3f0,2026-04-30,Student,Financing,28,0.25
f9d74e47-0052-47b6-94c7-1d655596ce3f,2026-04-10,Business,Budget,38,0.47
3c07cc55-2e74-41e5-bef9-21bb9f4d3cc2,2026-05-16,Student,Availability,23,0.21
32297ce1-1b0b-4140-9c90-88cb5142b6d6,2026-05-11,Low Income,Financing,21,-0.17
ff15526a-3815-4818-924f-03beb8e547fa,2026-03-09,Couple,Availability,31,-0.66
cd69b090-d8cc-49dc-8cb3-632880e16842,2026-04-24,Couple,Budget,37,-0.19
96e7b16b-5dce-4352-9432-860af1e5feba,2026-03-28,Student,Financing,39,0.74
c812acde-e7b4-4acc-9a32-94bbaee46589,2026-02-21,Family,Budget,19,-0.28
b652ec7a-09c6-4052-8745-8319d141e77f,2026-04-16,Couple,Availability,6,0.2
d3c0661e-4f76-447e-9ec9-9f9750e7eefc,2026-03-19,Couple,Right Vehicle,26,-0.92
bddb444a-1425-4e89-9a02-e0e9ed1a8b9d,2026-03-21,Family,Economy,2,0.67
701c2173-331c-48a6-8977-0ee0dc4b8e89,2026-04-17,Student,Economy,9,0.72
d78780f5-48b2-4aa7-9232-3539a1988cd7,2026-03-29,Large Family,Availability,21,0.46
a11655c6-b33f-4b4e-802a-7645da6f3a5c,2026-03-04,Business,Right Vehicle,24,-0.11
ab17aa9f-d262-4cf5-9285-a1d44c90e787,2026-04-07,Large Family,Availability,11,0.34
adc56e8c-71c8-4912-81b8-d4d5125ee1a8,2026-04-29,Large Family,Right Vehicle,26,-0.51
42f47d4a-b63d-42f5-aef5-58c30771f2bb,2026-03-26,Low Income,Budget,8,-0.37
e8a42e7c-4b92-492c-b36b-5375cd319a7b,2026-05-11,Student,Financing,22,-0.29
9a8295f1-bd81-4748-bdec-87b4f6e8c41f,2026-05-04,Student,Budget,34,0.4
3115243b-d24f-442b-a24d-2b5ab55b0b46,2026-04-01,Student,Availability,7,0.62
b0bdc7f4-9a5d-471c-bdbc-412c90422298,2026-03-07,Student,Economy,37,-0.01
6f950ca8-196f-4764-a3b3-b6d8dafde01c,2026-04-03,Large Family,Economy,31,-0.77
113a3a9d-3b73-4dc0-8fc8-1a1c57a21955,2026-04-27,Large Family,Availability,16,0.59
e66de4d3-b567-4492-a50b-6a072739fbd9,2026-02-28,Couple,Budget,14,-0.77
9ecf5d4e-d411-4b74-a6c7-1a6f44acb053,2026-04-05,Student,Economy,32,0.48
9eeac99d-71ec-4524-8fed-42224fd69b70,2026-05-18,Couple,Availability,27,-0.56
833842d1-722d-40bc-b9d4-ecc3c4f9df48,2026-03-29,Student,Economy,10,-0.91
a9f1c5e5-73e2-4a69-a243-7ab4e5a687f8,2026-04-23,Couple,Availability,32,-0.38
f94b44be-3633-4589-bb52-d749b2e82e0d,2026-05-22,Family,Right Vehicle,28,-0.94
d6714075-fc2e-45bf-bdd7-666e028ad698,2026-03-01,Student,Right Vehicle,20,0.04
1161fe2e-2927-4f5d-9683-30e661311be3,2026-05-22,Couple,Availability,34,-0.35
0b3bc304-2805-42e5-9176-fb7510c06883,2026-05-05,Low Income,Economy,9,0.81
ec650d3a-facf-435f-9a40-f9826c3e9668,2026-05-20,Low Income,Budget,18,-0.57
04b44930-151b-4c3d-83b2-428790fe225f,2026-02-21,Large Family,Availability,36,-0.4
e1e16a86-9c89-4349-8f08-b802359ce3f0,2026-03-18,Large Family,Budget,34,0.32
84c4f85a-3c28-4a97-bb0c-ec37eb85f951,2026-03-21,Low Income,Right Vehicle,15,0.64
768b980a-dbb4-4139-8f29-7c79e71a18ba,2026-03-20,Large Family,Availability,13,0.76
6db7d8d9-537e-48b8-bfad-c19a5c798108,2026-03-09,Business,Budget,26,-0.75
b6a87fdb-a8bc-4285-8056-8eff4a616654,2026-03-30,Family,Right Vehicle,32,0.29
b2a61953-8672-4753-992f-80455b8f518e,2026-03-03,Couple,Availability,10,0.68
1adeda12-65f1-43c4-a83e-f7034312fa6d,2026-03-04,Family,Financing,26,0.36
cb492006-aacf-474f-80c5-449debfaf14f,2026-04-16,Low Income,Budget,16,-0.46
e88cc0d7-ad59-458b-95d5-514cc6786807,2026-03-06,Large Family,Availability,37,0.78
5c787fca-7c15-44ea-aa16-91d0dcaf2f6c,2026-03-14,Couple,Availability,20,0.46
1c04970b-c69c-4a18-91e1-da4c477d83ea,2026-03-30,Family,Financing,33,0.61
70451de8-f793-46a3-9ace-91684551497d,2026-03-16,Couple,Availability,39,0.59
2bd84f1a-06f5-4b7c-98b0-d734bc00d2dc,2026-03-23,Couple,Availability,10,0.81
95464804-7637-4386-8365-c69b898a859d,2026-02-22,Student,Availability,12,0.68
c4dd7898-87c9-4e39-8254-fed0e68fce4d,2026-05-02,Family,Financing,6,0.43
9846440a-1def-4885-b8d6-2e36a37cce20,2026-04-29,Large Family,Budget,24,0.98
64a68d98-5bd3-427b-af9b-6773124dd9ea,2026-04-17,Student,Economy,30,0.5
36f90d1e-458d-4116-a681-513ef52a50e1,2026-03-07,Large Family,Budget,35,0.69
5dc31177-3d97-4727-badb-ee2ce4364421,2026-05-11,Couple,Economy,33,-0.7
02289931-9cab-44c1-a4aa-bcd72358cdae,2026-05-05,Large Family,Economy,8,0.76
afb718e8-516f-4db1-b924-107435d54c13,2026-04-20,Family,Availability,24,0.31
72d4907d-5d31-48e7-9044-fc0e057e3daf,2026-04-20,Business,Availability,31,-0.61
d83a3f09-0a0a-4471-859b-d985f4902e50,2026-04-21,Low Income,Budget,29,0.98
67cfe28f-0e69-493f-af83-b8cedad86367,2026-05-16,Large Family,Right Vehicle,39,0.41
4377e4bf-2afb-49ad-b15f-d42b23a46b54,2026-05-01,Student,Budget,7,-0.54
f38a69cd-c952-4125-8588-ac63c8c4f84e,2026-04-18,Business,Availability,6,-0.34
4970eb1a-6dd8-430d-92c8-571434aa56c1,2026-04-16,Couple,Economy,27,0.03
6e5a4a7d-77c2-4a7f-8160-ce4ad5aa9426,2026-05-07,Low Income,Economy,3,-0.23
1e6ca8d4-6323-4602-87f0-4fc5ed998162,2026-05-13,Business,Budget,24,-0.4
beb67586-b186-4cbd-a888-e28b9d352d33,2026-05-09,Low Income,Financing,19,0.87
bceeb010-e2fa-4528-bf3c-9e2a2aae6bae,2026-03-14,Student,Availability,22,0.56
bb315c80-02b2-4f2c-b888-eb59ce49d775,2026-04-02,Student,Right Vehicle,6,-0.82
9752a310-8569-4137-be20-7f4ee363db06,2026-04-24,Large Family,Availability,14,0.98
5fa69dff-2882-4890-84e3-01eb5cfbedcd,2026-03-21,Large Family,Economy,24,-0.9
3ed0442d-846f-4b69-b91f-47ff5f0d31fa,2026-04-29,Student,Economy,37,-0.41
d41ef628-8b3c-4c92-8818-3a2e015840cf,2026-04-08,Low Income,Availability,37,-0.03
